efo_otar_slim_id	efo_label	rs_classification
EFO:0008095	complement decay-accelerating factor measurement	04-non-disease
EFO:0008096	complement factor B measurement	04-non-disease
EFO:0008097	complement factor H measurement	04-non-disease
EFO:0008098	complement factor H-related protein 5 measurement	04-non-disease
EFO:0008099	complement factor I measurement	04-non-disease
EFO:0008100	contactin-2 measurement	04-non-disease
EFO:0008101	contactin-5 measurement	04-non-disease
EFO:0008102	copine-1 measurement	04-non-disease
EFO:0008103	cystatin-D measurement	04-non-disease
EFO:0008104	cystatin-F measurement	04-non-disease
EFO:0008105	cystatin-SA measurement	04-non-disease
EFO:0008106	cystatin-SN measurement	04-non-disease
EFO:0008107	death-associated protein kinase 2 measurement	04-non-disease
EFO:0008108	dermatopontin measurement	04-non-disease
EFO:0008109	Dickkopf-related protein 3 measurement	04-non-disease
EFO:0008110	Dickkopf-related protein 4 measurement	04-non-disease
EFO:0008111	diet measurement	04-non-disease
EFO:0008112	dual specificity mitogen-activated protein kinase kinase 2 measurement	04-non-disease
EFO:0008113	dual specificity mitogen-activated protein kinase kinase 4 measurement	04-non-disease
EFO:0008114	dynein light chain roadblock-type 1 measurement	04-non-disease
EFO:0008115	ectonucleoside triphosphate diphosphohydrolase 5 measurement	04-non-disease
EFO:0008116	EGF-like module-containing mucin-like hormone receptor-like 2 measurement	04-non-disease
EFO:0008117	elafin measurement	04-non-disease
EFO:0008118	endoglin measurement	04-non-disease
EFO:0008119	endoplasmic reticulum aminopeptidase 1 measurement	04-non-disease
EFO:0008120	endothelial cell-selective adhesion molecule measurement	04-non-disease
EFO:0008121	endothelin-converting enzyme 1 measurement	04-non-disease
EFO:0008122	eotaxin measurement	04-non-disease
EFO:0008123	ephrin type-A receptor 1 measurement	04-non-disease
EFO:0008124	ephrin type-B receptor 2 measurement	04-non-disease
EFO:0008125	estrogen receptor measurement	04-non-disease
EFO:0008126	extracellular matrix protein 1 measurement	04-non-disease
EFO:0008127	Fc receptor-like protein 3 measurement	04-non-disease
EFO:0008128	fetuin-B measurement	04-non-disease
EFO:0008129	fibroblast growth factor 2 measurement	04-non-disease
EFO:0008130	fibroblast growth factor basic measurement	04-non-disease
EFO:0008131	fibronectin fragment 3 measurement	04-non-disease
EFO:0008132	fibronectin fragment 4 measurement	04-non-disease
EFO:0008133	fibronectin measurement	04-non-disease
EFO:0008134	ficolin-1 measurement	04-non-disease
EFO:0008135	ficolin-2 measurement	04-non-disease
EFO:0008136	galactoside 34-L-fucosyltransferase measurement	04-non-disease
EFO:0008137	galectin-3 measurement	04-non-disease
EFO:0008138	GDNF family receptor alpha-2 measurement	04-non-disease
EFO:0008139	glypican-5 measurement	04-non-disease
EFO:0008140	gp41 C34 peptide, HIV measurement	04-non-disease
EFO:0008141	granulins measurement	04-non-disease
EFO:0008142	granulocyte colony-stimulating factor measurement	04-non-disease
EFO:0008144	granulysin measurement	04-non-disease
EFO:0008145	granzyme A measurement	04-non-disease
EFO:0008146	growth-regulated alpha protein measurement	04-non-disease
EFO:0008148	hemojuvelin measurement	04-non-disease
EFO:0008149	hemopexin measurement	04-non-disease
EFO:0008150	heparin cofactor 2 measurement	04-non-disease
EFO:0008151	hepatitis A virus cellular receptor 2 measurement	04-non-disease
EFO:0008152	hepatocyte growth factor activator measurement	04-non-disease
EFO:0008153	hepatocyte growth factor receptor measurement	04-non-disease
EFO:0008154	hepatocyte growth factor-like protein measurement	04-non-disease
EFO:0008155	histidine-rich glycoprotein measurement	04-non-disease
EFO:0008156	human Chorionic Gonadotropin measurement	04-non-disease
EFO:0008157	inorganic pyrophosphatase measurement	04-non-disease
EFO:0008158	inosine-5'-monophosphate dehydrogenase 1 measurement	04-non-disease
EFO:0008159	inosine-5'-monophosphate dehydrogenase 2 measurement	04-non-disease
EFO:0008160	insulin receptor measurement	04-non-disease
EFO:0008161	insulin-like growth factor-binding protein 7 measurement	04-non-disease
EFO:0008162	integrin alpha-I: beta-1 complex measurement	04-non-disease
EFO:0008163	intercellular adhesion molecule 2 measurement	04-non-disease
EFO:0008164	intercellular adhesion molecule 5 measurement	04-non-disease
EFO:0008165	interferon gamma measurement	04-non-disease
EFO:0008167	interleukin 1 Receptor accessory protein measurement	04-non-disease
EFO:0008168	interleukin 1 receptor-like 1 measurement	04-non-disease
EFO:0008169	interleukin 1 receptor-like 2 measurement	04-non-disease
EFO:0008170	interleukin 12 receptor subunit beta-1 measurement	04-non-disease
EFO:0008171	interleukin 13 measurement	04-non-disease
EFO:0008172	interleukin 15 receptor subunit alpha measurement	04-non-disease
EFO:0008173	interleukin 16 measurement	04-non-disease
EFO:0008174	interleukin 17 measurement	04-non-disease
EFO:0008175	interleukin 17 receptor A measurement	04-non-disease
EFO:0008176	interleukin 17 receptor B measurement	04-non-disease
EFO:0008177	interleukin 17 receptor D measurement	04-non-disease
EFO:0008178	interleukin 18 receptor 1 measurement	04-non-disease
EFO:0008179	interleukin 18 receptor accessory protein measurement	04-non-disease
EFO:0008180	interleukin 19 measurement	04-non-disease
EFO:0008181	interleukin 23 receptor measurement	04-non-disease
EFO:0008182	interleukin 25 measurement	04-non-disease
EFO:0008183	interleukin 27 receptor subunit alpha measurement	04-non-disease
EFO:0008184	interleukin 4 measurement	04-non-disease
EFO:0008185	interleukin 5 measurement	04-non-disease
EFO:0008186	interleukin 5 receptor subunit alpha measurement	04-non-disease
EFO:0008187	interleukin 6 receptor subunit alpha measurement	04-non-disease
EFO:0008188	interleukin 6 receptor subunit beta measurement	04-non-disease
EFO:0008189	interleukin 7 measurement	04-non-disease
EFO:0008190	interleukin 7 receptor subunit alpha measurement	04-non-disease
EFO:0008191	interleukin 8 measurement	04-non-disease
EFO:0008192	interleukin 9 measurement	04-non-disease
EFO:0008193	interstitial collagenase measurement	04-non-disease
EFO:0008194	kallikrein-12 measurement	04-non-disease
EFO:0008195	kallikrein-7 measurement	04-non-disease
EFO:0008196	kallistatin measurement	04-non-disease
EFO:0008197	killer cell immunoglobulin-like receptor 2DL4 measurement	04-non-disease
EFO:0008198	kininogen-1 measurement	04-non-disease
EFO:0008199	Kunitz-type protease inhibitor 1 measurement	04-non-disease
EFO:0008200	Kunitz-type protease inhibitor 2 measurement	04-non-disease
EFO:0008201	kynureninase measurement	04-non-disease
EFO:0008202	L-Selectin measurement	04-non-disease
EFO:0008203	lactadherin measurement	04-non-disease
EFO:0008204	left ventricular diastolic function measurement	04-non-disease
EFO:0008205	left ventricular structural measurement	04-non-disease
EFO:0008206	left ventricular systolic function measurement	04-non-disease
EFO:0008207	leucine carboxyl methyltransferase 1 measurement	04-non-disease
EFO:0008208	leukocyte immunoglobulin-like receptor subfamily B member 1 measurement	04-non-disease
EFO:0008209	leukocyte immunoglobulin-like receptor subfamily B member 2 measurement	04-non-disease
EFO:0008210	low affinity immunoglobulin epsilon Fc receptor measurement	04-non-disease
EFO:0008211	low affinity immunoglobulin gamma Fc region receptor II-a/b measurement	04-non-disease
EFO:0008212	low affinity immunoglobulin gamma Fc region receptor III-B measurement	04-non-disease
EFO:0008213	low molecular weight phosphotyrosine protein phosphatase measurement	04-non-disease
EFO:0008214	lymphotactin measurement	04-non-disease
EFO:0008215	lysosomal protective protein measurement	04-non-disease
EFO:0008216	lysozyme C measurement	04-non-disease
EFO:0008217	macrophage colony stimulating factor measurement	04-non-disease
EFO:0008218	macrophage inflammatory protein 1a measurement	04-non-disease
EFO:0008219	macrophage inflammatory protein 1b measurement	04-non-disease
EFO:0008220	macrophage metalloelastase measurement	04-non-disease
EFO:0008221	macrophage migration inhibitory factor measurement	04-non-disease
EFO:0008222	macrophage scavenger receptor types I and II measurement	04-non-disease
EFO:0008223	mannan-binding lectin serine protease 1 measurement	04-non-disease
EFO:0008224	mannose-binding protein C measurement	04-non-disease
EFO:0008225	MAP kinase-activated protein kinase 2 measurement	04-non-disease
EFO:0008226	MAP kinase-activated protein kinase 3 measurement	04-non-disease
EFO:0008227	matrilysin measurement	04-non-disease
EFO:0008228	mediator of RNA polymerase II transcription subunit 1 measurement	04-non-disease
EFO:0008229	melanoma-derived growth regulatory protein measurement	04-non-disease
EFO:0008230	mental development measurement	04-non-disease
EFO:0008231	metalloproteinase inhibitor 3 measurement	04-non-disease
EFO:0008232	methionine aminopeptidase 2 measurement	04-non-disease
EFO:0008233	MHC class I polypeptide-related sequence A measurement	04-non-disease
EFO:0008234	MHC class I polypeptide-related sequence B measurement	04-non-disease
EFO:0008235	monocyte chemotactic protein 3 measurement	04-non-disease
EFO:0008236	monokine induced by gamma interferon measurement	04-non-disease
EFO:0008237	motor development measurement	04-non-disease
EFO:0008238	myeloid cell surface antigen CD33 measurement	04-non-disease
EFO:0008239	N-acetyl-D-glucosamine kinase measurement	04-non-disease
EFO:0008240	N-acylethanolamine-hydrolyzing acid amidase measurement	04-non-disease
EFO:0008241	NAD-dependent protein deacetylase sirtuin-2 measurement	04-non-disease
EFO:0008242	NADPH--cytochrome P450 reductase measurement	04-non-disease
EFO:0008243	natural cytotoxicity triggering receptor 3 measurement	04-non-disease
EFO:0008244	neurexophilin-1 measurement	04-non-disease
EFO:0008245	neurodevelopmental measurement	04-non-disease
EFO:0008246	neurogenic locus notch homolog protein 1 measurement	04-non-disease
EFO:0008247	neutral ceramidase measurement	04-non-disease
EFO:0008248	neutrophil collagenase measurement	04-non-disease
EFO:0008249	nidogen-1 measurement	04-non-disease
EFO:0008250	NKG2-D type II integral membrane protein measurement	04-non-disease
EFO:0008251	non-receptor tyrosine-protein kinase TYK2 measurement	04-non-disease
EFO:0008252	OCIA domain-containing protein 1 measurement	04-non-disease
EFO:0008253	OX-2 membrane glycoprotein measurement	04-non-disease
EFO:0008254	P-Selectin measurement	04-non-disease
EFO:0008255	particulate matter air pollution measurement	04-non-disease
EFO:0008256	peptidyl-prolyl cis-trans isomerase D measurement	04-non-disease
EFO:0008257	peptidyl-prolyl cis-trans isomerase E measurement	04-non-disease
EFO:0008258	persulfide dioxygenase ETHE1, mitochondrial measurement	04-non-disease
EFO:0008259	phospholipase A2, membrane associated measurement	04-non-disease
EFO:0008260	plasma kallikrein measurement	04-non-disease
EFO:0008261	plasma protease C1 inhibitor measurement	04-non-disease
EFO:0008262	platelet glycoprotein 4 measurement	04-non-disease
EFO:0008263	platelet glycoprotein VI measurement	04-non-disease
EFO:0008264	platelet-derived growth factor BB measurement	04-non-disease
EFO:0008265	platelet-derived growth factor receptor beta measurement	04-non-disease
EFO:0008266	plexin-C1 measurement	04-non-disease
EFO:0008267	polymeric immunoglobulin receptor measurement	04-non-disease
EFO:0008268	programmed cell death 1 ligand 2 measurement	04-non-disease
EFO:0008269	properdin measurement	04-non-disease
EFO:0008270	proprotein convertase subtilisin/kexin type 7 measurement	04-non-disease
EFO:0008271	protein jagged-1 measurement	04-non-disease
EFO:0008272	proto-oncogene tyrosine-protein kinase receptor Ret measurement	04-non-disease
EFO:0008273	repulsive guidance molecule A measurement	04-non-disease
EFO:0008274	retinoic acid receptor responder protein 2 measurement	04-non-disease
EFO:0008275	S-formylglutathione hydrolase measurement	04-non-disease
EFO:0008276	scavenger receptor class F member 1 measurement	04-non-disease
EFO:0008277	Secreted frizzled-related protein 3 measurement	04-non-disease
EFO:0008278	semaphorin-3A measurement	04-non-disease
EFO:0008279	semaphorin-3E measurement	04-non-disease
EFO:0008280	serine protease 27 measurement	04-non-disease
EFO:0008281	serine/threonine-protein kinase 17B measurement	04-non-disease
EFO:0008282	serum amyloid A-1 protein measurement	04-non-disease
EFO:0008283	serum amyloid P-component measurement	04-non-disease
EFO:0008284	sialic acid-binding Ig-like lectin 14 measurement	04-non-disease
EFO:0008285	sialic acid-binding Ig-like lectin 6 measurement	04-non-disease
EFO:0008286	sialic acid-binding Ig-like lectin 9 measurement	04-non-disease
EFO:0008287	SLAM family member 7 measurement	04-non-disease
EFO:0008288	small nuclear ribonucleoprotein F measurement	04-non-disease
EFO:0008289	SPARC-like protein 1 measurement	04-non-disease
EFO:0008290	spondin-1 measurement	04-non-disease
EFO:0008291	stem Cell Factor measurement	04-non-disease
EFO:0008292	stem Cell Growth Factor beta measurement	04-non-disease
EFO:0008293	stromal cell-derived factor 1 alpha measurement	04-non-disease
EFO:0008294	superoxide dismutase [Mn], mitochondrial measurement	04-non-disease
EFO:0008295	T-lymphocyte surface antigen Ly-9 measurement	04-non-disease
EFO:0008296	tenascin measurement	04-non-disease
EFO:0008297	teratocarcinoma-derived growth factor 1 measurement	04-non-disease
EFO:0008298	thioredoxin domain-containing protein 12 measurement	04-non-disease
EFO:0008299	thrombospondin-2 measurement	04-non-disease
EFO:0008300	TNF-related apoptosis-inducing ligand measurement	04-non-disease
EFO:0008301	toll-like receptor 4:Lymphocyte antigen 96 complex measurement	04-non-disease
EFO:0008302	transforming growth factor-beta-induced protein ig-h3 measurement	04-non-disease
EFO:0008303	transmembrane glycoprotein NMB measurement	04-non-disease
EFO:0008304	trefoil factor 3 measurement	04-non-disease
EFO:0008305	trypsin-2 measurement	04-non-disease
EFO:0008306	tryptase beta-2 measurement	04-non-disease
EFO:0008307	tuberculin skin test reactivity measurement	04-non-disease
EFO:0008308	tumor necrosis factor beta measurement	04-non-disease
EFO:0008309	tumor necrosis factor receptor superfamily member 19L measurement	04-non-disease
EFO:0008310	tumor necrosis factor receptor superfamily member EDAR measurement	04-non-disease
EFO:0008311	tumor necrosis factor-inducible gene 6 protein measurement	04-non-disease
EFO:0008312	tyrosine-protein kinase receptor Tie-1, soluble measurement	04-non-disease
EFO:0008313	UMP-CMP kinase measurement	04-non-disease
EFO:0008314	vascular endothelial growth factor receptor 2 measurement	04-non-disease
EFO:0008315	vascular endothelial growth factor receptor 3 measurement	04-non-disease
EFO:0008316	vaso-occlusive pain measurement	04-non-disease
EFO:0008317	very low density lipoprotein cholesterol measurement	04-non-disease
EFO:0008318	vitamin K-dependent protein C measurement	04-non-disease
EFO:0008319	WAP, Kazal, immunoglobulin, Kunitz and NTR domain-containing protein 2 measurement	04-non-disease
EFO:0008320	white matter volume measurement	04-non-disease
EFO:0008321	WNT1-inducible-signaling pathway protein 1 measurement	04-non-disease
EFO:0008322	decreased susceptibility to bacterial infection	04-non-disease
EFO:0008323	hypocretin deficiency	04-non-disease
EFO:0008324	response to sulfasalazine	04-non-disease
EFO:0008325	response to sotalol	04-non-disease
EFO:0008326	a disintegrin and metalloproteinase with thrombospondin motifs 5 measurement	04-non-disease
EFO:0008327	alpha-1-antitrypsin measurement	04-non-disease
EFO:0008328	chronotype measurement	04-non-disease
EFO:0008329	facial emotion recognition measurement	04-non-disease
EFO:0008330	fear of pain measurement	04-non-disease
EFO:0008331	interleukin 2 measurement	04-non-disease
EFO:0008332	interleukin 2 receptor antagonist measurement	04-non-disease
EFO:0008333	T wave amplitude	04-non-disease
EFO:0008334	TpTe measurement	04-non-disease
EFO:0008335	ventricular repolarisation duration measurement	04-non-disease
EFO:0008336	disease progression measurement	04-non-disease
EFO:0008337	psychosis predisposition measurement	04-non-disease
EFO:0008338	fear of severe pain measurement	04-non-disease
EFO:0008339	fear of medical pain measurement	04-non-disease
EFO:0008340	fear of minor pain measurement	04-non-disease
EFO:0008341	snoring measurement	04-non-disease
EFO:0008342	parental emotion expression measurmement	04-non-disease
EFO:0008343	sex interaction measurement	04-non-disease
EFO:0008344	response to placebo	04-non-disease
EFO:0008345	response to duloxetine	04-non-disease
EFO:0008347	response to trastuzumab	04-non-disease
EFO:0008348	response to ranibizumab	04-non-disease
EFO:0008349	thiazide-induced hyponatremia	04-non-disease
EFO:0008350	alpha-linoleic acid measurement	04-non-disease
EFO:0008351	amyloid deposition measurement	04-non-disease
EFO:0008352	C9orf72 mutation status	04-non-disease
EFO:0008353	cellular adhesion molecule measurement	04-non-disease
EFO:0008354	cognitive function measurement	04-non-disease
EFO:0008355	dietary heme iron intake measurement	04-non-disease
EFO:0008356	dihomo-gamma-linoleic acid measurement	04-non-disease
EFO:0008357	docosatetranoic acid measurement	04-non-disease
EFO:0008358	dorsolateral prefrontal cortex functional measurement	04-non-disease
EFO:0008359	eicosadienoic acid measurement	04-non-disease
EFO:0008360	environmental exposure measurement	04-non-disease
EFO:0008361	environmental tobacco smoke exposure measurement	04-non-disease
EFO:0008362	farm exposure measurement	04-non-disease
EFO:0008363	gamma-linoleic acid measurement	04-non-disease
EFO:0008364	generational effect measurement	04-non-disease
EFO:0008365	heart amyloid deposition measurement	04-non-disease
EFO:0008366	IgG isotype profile measurement	04-non-disease
EFO:0008367	infant cerebrospinal fluid volume measurement	04-non-disease
EFO:0008368	infant grey matter volume measurement	04-non-disease
EFO:0008369	infant intracranial volume measurement	04-non-disease
EFO:0008370	infant white matter volume measurement	04-non-disease
EFO:0008371	kidney amyloid deposition measurement	04-non-disease
EFO:0008372	laterality measurement	04-non-disease
EFO:0008373	left ventricular ejection fraction measurement	04-non-disease
EFO:0008374	liver amyloid deposition measurement	04-non-disease
EFO:0008375	macula measurement	04-non-disease
EFO:0008376	mosquito bite measurement	04-non-disease
EFO:0008377	mosquito bite reaction itch intensity measurement	04-non-disease
EFO:0008378	mosquito bite reaction size measurement	04-non-disease
EFO:0008379	P wave terminal force measurement	04-non-disease
EFO:0008380	perceived unattractiveness to mosquitos measurement	04-non-disease
EFO:0008381	total cortical area measurement	04-non-disease
EFO:0008382	TP53 mutation status	04-non-disease
EFO:0008383	treatment outcome measurement	04-non-disease
EFO:0008384	tumor necrosis factor receptor II measurement	04-non-disease
EFO:0008385	visual acuity measurement	04-non-disease
EFO:0008386	body odor measurement	04-non-disease
EFO:0008387	caudate nucleus measurement	04-non-disease
EFO:0008388	gamma wave measurement	04-non-disease
EFO:0008389	putamen measurement	04-non-disease
EFO:0008390	prothrombin time measurement	04-non-disease
EFO:0008391	erythropoetin measurement	04-non-disease
EFO:0008392	triiodothyronine measurement	04-non-disease
EFO:0008393	reaction time measurement	04-non-disease
EFO:0008394	verbal-numerical reasoning measurement	04-non-disease
EFO:0008395	response to darapladib	04-non-disease
EFO:0008396	response to reward	04-non-disease
EFO:0008397	response to disappointment	04-non-disease
EFO:0008398	T wave morphology measurement	04-non-disease
EFO:0008399	mean fractional anisotropy measurement	04-non-disease
EFO:0008400	susceptibility to chickenpox measurement	04-non-disease
EFO:0008401	susceptibility to shingles measurement	04-non-disease
EFO:0008402	susceptibility to cold sores measurement	04-non-disease
EFO:0008403	susceptibility to mononucleosis measurement	04-non-disease
EFO:0008404	susceptibility to mumps measurement	04-non-disease
EFO:0008405	susceptibility to hepatitis B infection measurement	04-non-disease
EFO:0008406	susceptibility to plantar warts measurement	04-non-disease
EFO:0008407	susceptibility to Mycobacterium tuberculosis infection measurement	04-non-disease
EFO:0008408	susceptibility to strep throat measurement	04-non-disease
EFO:0008409	susceptibility to scarlet fever measurement	04-non-disease
EFO:0008410	susceptibility to pneumonia measurement	04-non-disease
EFO:0008411	susceptibility to bacterial meningitis measurement	04-non-disease
EFO:0008412	susceptibility to vaginal yeast infection measurement	04-non-disease
EFO:0008413	susceptibility to urinary tract infection measurement	04-non-disease
EFO:0008414	susceptibility to measles measurement	04-non-disease
EFO:0008415	susceptibility to hepatitis A infection measurement	04-non-disease
EFO:0008416	susceptibility to rheumatic fever measurement	04-non-disease
EFO:0008417	susceptibility to common cold measurement	04-non-disease
EFO:0008418	susceptibility to rubella infection measurement	04-non-disease
EFO:0008419	susceptibility to chronic sinus infection measurement	04-non-disease
EFO:0008420	parietal cortex measurement	04-non-disease
EFO:0008421	non-alcoholic fatty liver disease severity measurement	04-non-disease
EFO:0008422	susceptibility to infectious disease measurement	04-non-disease
EFO:0008423	IgG monogalactosylation measurement	04-non-disease
EFO:0008424	IgG digalactosylation measurement	04-non-disease
EFO:0008425	IgG galactosylation measurement	04-non-disease
EFO:0008426	IgG bisecting N-acetyl glucosamine measurement	04-non-disease
EFO:0008427	IgG fucosylation measurement	04-non-disease
EFO:0008428	IgG sialylation measurement	04-non-disease
EFO:0008429	IgG disialylation measurement	04-non-disease
EFO:0008430	IgG monosialylation measurement	04-non-disease
EFO:0008431	maximal voluntary ventilation	04-non-disease
EFO:0008432	lipoprotein-associated phospholipase A(2) change measurement	04-non-disease
EFO:0008433	pursuit maintenance gain measurement	04-non-disease
EFO:0008434	initial pursuit acceleration	04-non-disease
EFO:0008435	gestational weight gain measurement	04-non-disease
EFO:0008436	late gestational weight gain	04-non-disease
EFO:0008437	early gestational weight gain	04-non-disease
EFO:0008438	growth hormone measurement	04-non-disease
EFO:0008446	platelet-to-lymphocyte ratio	04-non-disease
EFO:0008447	neutrophil-to-lymphocyte ratio	04-non-disease
EFO:0008449	magnesium:creatinine ratio measurement	04-non-disease
EFO:0008450	fractional excretion of magnesium measurement	04-non-disease
EFO:0008451	activities of daily living score measurement	04-non-disease
EFO:0008452	mid-arm muscle circumference measurement	04-non-disease
EFO:0008453	calf circumference measurement	04-non-disease
EFO:0008454	short physical performance battery score measurement	04-non-disease
EFO:0008455	sleep apnea measurement during REM sleep	04-non-disease
EFO:0008456	sleep apnea measurement during non-REM sleep	04-non-disease
EFO:0008457	cannabis dependence measurement	04-non-disease
EFO:0008458	tacrolimus measurement	04-non-disease
EFO:0008459	response to mepolizumab	04-non-disease
EFO:0008462	pregnancy induced alloimmunization	04-non-disease
EFO:0008463	glucagon measurement	04-non-disease
EFO:0008464	glucose-dependent insulinotropic peptide measurement	04-non-disease
EFO:0008465	glucagon-like peptide-1 measurement	04-non-disease
EFO:0008466	matrix metalloproteinase 8 measurement	04-non-disease
EFO:0008467	behavioural inhibitory control measurement	04-non-disease
EFO:0008468	midregional pro atrial natriuretic peptide measurement	04-non-disease
EFO:0008469	B-type natriuretic peptide to N-terminal pro B-type natriuretic peptide ratio	04-non-disease
EFO:0008470	dietary potassium intake measurement	04-non-disease
EFO:0008471	cardiac stress biomarker measurement	04-non-disease
EFO:0008473	insulin response measurement	04-non-disease
EFO:0008474	spine bone mineral density change measurement	04-non-disease
EFO:0008475	mood instability measurement	04-non-disease
EFO:0008476	delayed reward discounting measurement	04-non-disease
EFO:0008483	response to trauma exposure	04-non-disease
EFO:0008484	response to carbamazepine	04-non-disease
EFO:0008485	homosexuality	04-non-disease
EFO:0008486	male homosexuality	04-non-disease
EFO:0008487	lateral ventricle volume measurement	04-non-disease
EFO:0008490	ampulla of Vater adenocarcinoma	01-disease-subtype
EFO:0008491	atypical ductal hyperplasia	01-disease-subtype
EFO:0008492	breast hyperplasia	02-disease-root
EFO:0008493	cerebral small vessel disease	03-disease-area
EFO:0008494	Chikungunya encephalitis	02-disease-root
EFO:0008495	childhood supratentorial ependymoma	01-disease-subtype
EFO:0008496	chronic hepatitis	04-non-disease
EFO:0008497	chronic lung allograft dysfunction	02-disease-root
EFO:0008498	clear cell sarcoma	02-disease-root
EFO:0008499	DNA repair deficiency	03-disease-area
EFO:0008500	ductal breast hyperplasia	01-disease-subtype
EFO:0008501	dysplasia	02-disease-root
EFO:0008502	gastric non-cardia carcinoma	01-disease-subtype
EFO:0008503	hepatitis B virus induced hepatocellular carcinoma	01-disease-subtype
EFO:0008504	hepatitis C virus induced hepatocellular carcinoma	01-disease-subtype
EFO:0008505	hepatitis virus-related hepatocellular carcinoma	01-disease-subtype
EFO:0008506	hyperparathyroidism	03-disease-area
EFO:0008507	interstitial cystitis	01-disease-subtype
EFO:0008508	large cell medulloblastoma	01-disease-subtype
EFO:0008509	lobular breast carcinoma	01-disease-subtype
EFO:0008510	Lyme disease	01-disease-subtype
EFO:0008511	metopic craniosynostosis	02-disease-root
EFO:0008512	micropapillary urothelial carcinoma	01-disease-subtype
EFO:0008513	morphologic finding	04-non-disease
EFO:0008514	neurofibromatosis	02-disease-root
EFO:0008515	nodular melanoma	01-disease-subtype
EFO:0008516	non-functioning pituitary adenoma	02-disease-root
EFO:0008517	oral lichen planus	01-disease-subtype
EFO:0008518	polymyalgia rheumatica	02-disease-root
EFO:0008519	primary hyperparathyroidism	02-disease-root
EFO:0008520	primary progressive multiple sclerosis	01-disease-subtype
EFO:0008521	rhinitis	03-disease-area
EFO:0008522	secondary progressive multiple sclerosis	01-disease-subtype
EFO:0008523	sessile serrated polyp	02-disease-root
EFO:0008524	small cell carcinoma	03-disease-area
EFO:0008525	spinal muscular atrophy	03-disease-area
EFO:0008526	status epilepticus	01-disease-subtype
EFO:0008527	steatosis	04-non-disease
EFO:0008528	urothelial carcinoma	03-disease-area
EFO:0008529	kynurenine measurement	04-non-disease
EFO:0008530	kynurenine:tryptophan ratio	04-non-disease
EFO:0008531	GLP-1-stimulated insulin response	04-non-disease
EFO:0008532	clinically amyopathic dermatomyositis	01-disease-subtype
EFO:0008533	dyspepsia	02-disease-root
EFO:0008534	tryptophan measurement	04-non-disease
EFO:0008535	post-traumatic stress disorder symptom measurement	04-non-disease
EFO:0008536	anti-centromere-antibody-positive systemic scleroderma	01-disease-subtype
EFO:0008537	anti-topoisomerase-I-antibody-positive systemic scleroderma	01-disease-subtype
EFO:0008538	helping behavior measurement	04-non-disease
EFO:0008539	vitamin D dietary intake measurement	04-non-disease
EFO:0008540	helping behaviour	04-non-disease
EFO:0008541	response to opioid	04-non-disease
EFO:0008542	complement C3d subcomponent measurement	04-non-disease
EFO:0008543	c3d:C3 ratio	04-non-disease
EFO:0008544	analgesia requirement measurement	04-non-disease
EFO:0008545	Malignant Breast Phyllodes Tumor	01-disease-subtype
EFO:0008546	poisoning	04-non-disease
EFO:0008549	digestive system neoplasm	03-disease-area
EFO:0008550	Hepatobiliary Neoplasm	03-disease-area
EFO:0008553	femur fracture	02-disease-root
EFO:0008555	Methicillin-Resistant Staphylococcus Aureus Infection	01-disease-subtype
EFO:0008556	Methicillin-Resistant Staphylococcus Aureus Pneumonia	01-disease-subtype
EFO:0008557	Methicillin-Susceptible Staphylococcus Aureus Infection	01-disease-subtype
EFO:0008558	Vancomycin-Resistant Staphylococcus Aureus Infection	01-disease-subtype
EFO:0008559	American trypanosomiasis	01-disease-subtype
EFO:0008560	female infertility	03-disease-area
EFO:0008561	diaphragmatic hernia	04-non-disease
EFO:0008568	Sleep Disorder	03-disease-area
EFO:0008569	Thiamine deficiency	04-non-disease
EFO:0008570	Vitamin B3 deficiency	04-non-disease
EFO:0008571	viral conjunctivitis	01-disease-subtype
EFO:0008572	malnutrition	02-disease-root
EFO:0008573	alcoholic liver disease	03-disease-area
EFO:0008574	gangrene	04-non-disease
EFO:0008576	Spinal Osteochondrosis	02-disease-root
EFO:0008577	Juvenile Osteochondrosis	02-disease-root
EFO:0008578	sperm motility measurement	04-non-disease
EFO:0008579	risk-taking behaviour	04-non-disease
EFO:0008580	response to taxane	04-non-disease
EFO:0008581	salivary gland disease	03-disease-area
EFO:0008582	thrombin activatable fibrinolysis inhibitor activation peptide measurement	04-non-disease
EFO:0008583	acute myocardial infarction	01-disease-subtype
EFO:0008584	Subsequent ST elevation (STEMI) and non-ST elevation (NSTEMI) myocardial infarction	01-disease-subtype
EFO:0008585	ST Elevation Myocardial Infarction	01-disease-subtype
EFO:0008586	Non-ST Elevation Myocardial Infarction	01-disease-subtype
EFO:0008587	gender identity disorder	02-disease-root
EFO:0008588	peritonitis	02-disease-root
EFO:0008589	esterified cholesterol measurement	04-non-disease
EFO:0008590	Status Asthmaticus	01-disease-subtype
EFO:0008591	free cholesterol measurement	04-non-disease
EFO:0008592	high density lipoprotein particle size measurement	04-non-disease
EFO:0008593	low density lipoprotein particle size measurement	04-non-disease
EFO:0008594	very low density lipoprotein particle size measurement	04-non-disease
EFO:0008595	intermediate density lipoprotein measurement	04-non-disease
EFO:0008596	chylomicron measurement	04-non-disease
EFO:0008597	anti-p200 pemphigoid	02-disease-root
EFO:0008598	autoimmune bullous skin disease	03-disease-area
EFO:0008601	pemphigus foliaceus	01-disease-subtype
